Date,Name,Temp Air,Humidity,L2kWh (Meas),,,,
02/04/2024,Block D Flat 14-D,21.1,47,9.89,,,,
18/04/2024,Block D Flat 2 Kitchen,18.2,47,9.83,,,,
02/04/2024,Block A Flat 14 Kitchen,18,52,9.57,,,,
02/04/2024,Block B Flat 3-B,21.9,55,9.55,,,,
02/04/2024,Block D Flat 10 Kitchen,20.1,50,9.54,,,,
01/04/2024,Block D Flat 1- Kitchen,21.4,45,9.47,,,,
04/04/2024,Block D Flat 14-B,21.2,44,9.46,,,,
04/04/2024,Block B Flat 14 Kitchen,20.9,46,9.41,,,,
04/04/2024,Block D Flat 8 Kitchen,20.5,42,9.41,,,,
01/04/2024,Block B Flat 3-B,21.5,54,9.39,,,,
27/04/2024,Block D Flat 2 Kitchen,18.2,39,9.39,,,,
01/04/2024,Block A Flat 13 Kitchen,20.5,47,9.35,,,,
03/04/2024,Block B Flat 3-B,21.4,56,9.34,,,,
16/04/2024,Block B Flat 2 Kitchen,18.2,36,9.27,,,,
15/04/2024,Block B Flat 2 Kitchen,18.2,42,9.24,,,,
05/04/2024,Block C Flat 13-C,16.1,51,9.21,,,,
03/04/2024,Block B Flat 13-C,21.4,55,9.16,,,,
03/04/2024,Block A Flat 14-B,21.4,49,9.11,,,,
24/04/2024,Block B Flat 3 Kitchen,17.5,38,9.08,,,,
01/04/2024,Block A Flat 14-A,21.5,53,9.07,,,,
03/04/2024,Block C Flat 11-E,21.1,49,9.06,,,,
01/04/2024,Block C Flat 8 Kitchen,21.4,44,9.04,,,,
27/04/2024,Block B Flat 6 Kitchen,18.4,37,9.01,,,,
03/04/2024,Block C Flat 5-D,21.3,49,8.99,,,,
02/04/2024,Block D Flat 13-F,21.7,55,8.98,,,,
05/04/2024,Block A Flat 13 Kitchen,16,55,8.89,,,,
02/04/2024,Block C Flat 14 Kitchen,19.7,47,8.88,,,,
03/04/2024,Block A Flat 15-F,21.6,52,8.77,,,,
03/04/2024,Block B Flat 4 Kitchen,20.6,56,8.72,,,,
01/04/2024,Block D Flat 13-A,21.2,43,8.72,,,,
01/04/2024,Block A Flat 2-D,18.7,49,8.65,,,,
02/04/2024,Block B Flat 14-B,20.6,48,8.65,,,,
01/04/2024,Block D Flat 10 Kitchen,21.2,45,8.65,,,,
04/04/2024,Block D Flat 11-D,21.1,57,8.63,,,,
01/04/2024,Block C Flat 13-B,20.2,42,8.62,,,,
01/04/2024,Block D Flat 11-D,19.9,54,8.62,,,,
19/04/2024,Block D Flat 2 Kitchen,18.2,39,8.6,,,,
26/04/2024,Block D Flat 2 Kitchen,18.2,43,8.59,,,,
03/04/2024,Block A Flat 2-D,21.3,45,8.56,,,,
